words (in Hausa Language),English
Gero,Millet
Gewaya,Surround
Gewayawa,Circulation
Gewaye,Around
Gewayo,Recur
Gewayu,Go around
Geza,Mane
Gezau,Fringe
Gezuwa,Gēzu
Gibi,Deficit
Giɓi,Deficit
Gibta,Gibt
Gicce,Axis
Giciya,Interplanting
Giciyad da,Giciyad
Giciyar da,Giciyar
Giciye,Cross
Gida,Residence
Gidaje,Housing
Gidajen,Houses
Gidan ambassador,Embassy
Gidan babban sarki,Palace
Gidan barayi,Den
Gidan doki,Stable
Gidan fada,Palatial
Gidan gona,Farm
Gidan karuwai,Brothel
Gidan kaso,Prison
Gidan kowa,Influenza
Gidan kurkuku,Prison
Gidan reno,Home nursing
Gidan sauro,Mosquito
Gidan shari’a,Court
Gidan takobi,Scabbard
Gidan wasa,Playhouse
Gidan wasan kwaikwayo,Theatre
Gidan yari,Penitentiary
Gidan zama,Residence
Gidauniya,Fund
Giɗiɗi,Gididi
Gidi-gidi,The abode of-abode
Giɗigiɗi,Gidigidi
Giɗimi,Gidimi
Giɗiniya,Gidiniya
Giɗis,Gidis
Giga,Hesitation
Gigar,Shackles
Giggiwa,Cocky
Gigice,Shock
Gigicewa,Shocks
Gigin barci,Dementia sleep
Giginya,Palm
Giginyu,Palm
Gigita,Bewilder
Gigitawa,Panic
Giji,Lords
Giji-giji,Lords lords
Gijirta,Lords
Gijiware,Tough
Gilas,Tumbler
Gilɓoshi,Gilboshi
Gilla,Sever
Gilla-gilla,Brutally murdered
Gillau,Gill
Gille,Gillie
Gilma,Cross
Gilo,Roaming
Gimbiya,Princess
Gimsa,Really not be interested
Gimsa-gimsa,Really not be interested really not be interested
Gina,Build
Gincira,Reclining
Gincire,Reclining
Gindi,Foundation
Gindi (na dabba),Rump
Gini,Building
Ginshiki,Lifeblood
Ginshiƙi,Keystone
Gira,Grope
Giragizai,Clouds
Girba,Reap
Girbi,Harvest
Girde,Uproot
Girgije,Cloud
Girgiza,Aghast
Girgiza kai,Quagmire
Girgizar kasa,Earthquake
Girgizar ƙasa,Earthquake
Girgizawa,Wavering
Girka,Establish
Girke-girke,Cookery
Girki,Cook
Girma,Mange
Girma (na abu),Size
Girma (wajen lissafi),Volume
Girma-girma,Sizes
Girmama,Awards
Girmama kai,Self-respect
Girmamawa,Courtesy
Girmamawar,Emphasis
Girman jiki,Obesity
Girman kai,Arrogant
Girman sarauta,Royalty
Girme,Younger than
Girtsi,Cartilage
Gishiri,Salt
Gishu,Pleuro-pneumonia
Gitta,Exposed
Gittawa,Exposed
Giwa,Elephant
Giwar fito,Raft
Giya,Berserk
Gizagizai,Clouds
Gizago,Adze
Gizaka,Caterpillar
Gizo-gizo,Spider
Gizogizo da danginsa,Spider
Goba,Guava
Gobara,Inferno
Gobe,Tomorrow
Goce,Swerve
Gocewa,Slant
Gode,Thank
Godewa,Thank
Godiya,Appreciate
Godiyar zuciya,Gratitude
Goga,Chafe
Gogaggiya,Experts
Gogaggu,Experienced
Gogayya,Friction
Goge,Erase
Goge da tawul,Towel
Goge guri,Swab
Goge kura,Dust
Gogewa,Moping
Goggo,Aunt
Goguwa,Experience
Gol,Goal
Goma,Ten
Goma sha bakwai,Seventeen
Goma sha biyar,Fifteen
Goma sha biyu,Twelve
Goma sha daya,Eleven
Goma sha ɗaya,Eleven
Goma sha hudu,Fourteen
Goma sha shida,Sixteen
Goma sha takwas,Eighteen
Goma sha tara (19),Niteteen
Goma sha uku,Thirteen
Gona,Farm
Gona daya,Field
Gonaki,Farms
Gonarka,Garden
Good workmanship,Workmanship
Gora,Gourd
Goran ruwa,Water-bottle
Gorar itace,Trunk
Gori,Mockery
Goriba,Dum-palm
Goriba da danginsu,Palm
Gorilla,Gorillas
Goro,Kola
Goshi,Brow
Goshin kirkismati,Eve
Goya baya,Backing
Goyi baya,Support
Goyi bayan,Uphold
Goyo,Cloths
Goyon baya,Backed
Goyon masara,Cob
Grey,Gray
Grey matter,Gray matter
Grub,Percussion
Guba,Poison
Guda,Sphere
Guda biyu,Couple
Guda daya,Unit
Guda tak,Single
Gudajje,Runaway
Gudana,Shun
Gudanad da,Expedite
Gudanar da,Management
Gudanarwa,Management
Gudawa,Diarrhea
Gudu,Flee
Gudu goma,Decade
Guduma,Hammer
Gudummawa,Help
Gudun amarci,Honeymoon
Gudun hijira,Displaced
Guduwa,Fleeing
Guga,Mope
Guguwa,Cyclone
Guguwar fahimta,Misbegotten
Gujajje,Outcast
Guje wa,Shun
Gujewa,Evade
Gujiya,Groundnuts
Gulma,Backbite
Gulu,Glue
Gululu,Boll
Gumi,Sweaty
Gumki,Idol
Gumza,Roar
Guna,Melon
Gunaguni,Complains
Gunda,Clusters
Gundudu,Waist
Gunduma,Councils
Gundumar,Precinct
Gundura,Bored
Gunduwa,Slice
Gungu,Cabal
Gungume,Block
Gunki,Dummy
Guntattaki,Pieces
Guntaye,Blocks
Guntu,Fragment
Guntun,Gaunt
Guntuwa,The shortest
Gunya,Dun
Gura kogo,Wale cave
Guraba,Key offices
Gurabba,Moderation
Guraben karatu,Reader slots
Gurabu,Key offices
Gurabuna,Key offices
Gura-kogo,Wale-hole
Gurasa,Loaf
Gurbace,Corrupted
Gurɓace,Corrupted
Gurbacewa,Contamination
Gurbata,Distort
Gurɓata,Stifled
Gurbatacce,Turbid
Gurɓatacce,Depraved
Gurbatacciya,Inappropriate
Gurbatar da,Pollute
Gurɓatattun abubuwa,Polluters
Gurbatawa,Contamination
Gurɓato,Gurbato
Gurbi,Constituency
Gurde,Sprain
Gurfanad da,Gurfanad
Gurfanar,Prosecuted
Gurfanarwa,Arraignment
Gurgu,Lame
Gurgunta,Cripple
Gurgura,Scroll
Gurguwar fahimta,Misunderstood
Gurje,Gin
Gurjiya,Gurju
Gurnani,Buzzing
Gurneti,Grenade
Guru,Belt
Gurunguntsi,Cartilage
Gurza,Gin
Gutsure,Fragmented
Guza,Monitor
Guzuri,Subsistence
Gwaba,Guava
Gwabza,Battles
Gwada,Testy
Gwadabe,Road
Gwadawa,Test
Gwaddabe,Highway
Gwado,Blanket
Gwaggon biri,Gorilla
Gwagwarmaya,Contending
Gwaiduwa,Yolk
Gwaiwa,Testicle
Gwaje-gwaje,Tests
Gwaji,Proof
Gwaji-gwaji,Dinghy
Gwalalo,Moat
Gwale gwale,Fatique
Gwalo,Grimace
Gwamitsi,Medley
Gwamma,Rather
Gwamna,Gubernatorial
Gwamnati,Government
Gwamutsa,Jostle
Gwanaye,Masters
Gwanda,Pawpaw
Gwandar daji,Custard
Gwangwani,Tin
Gwani,Competent
Gwanin kyau,Excellent
Gwanin sha’awa,Outstanding interest
Gwaninta,Expertly
Gwaninta wajen dabo,Sleight of hand
Gwanintar hannu,Dexterity
Gwanjo,Secondhand
Gwara da danginsa,Sparrow
Gwaraza,Side
Gwargwado,Measly
Gwargwadon,According
Gwarje,Bell
Gwarjen shela,Gong
Gwarzaye,Pioneers
Gwarzo,Heroically
Gwasale,Snub
Gwatso,Besmirch
Gwaurau,Witch-doctor
Gwauro,Prominent
Gwaza,Koko-yam
Gwiwa,Knee
Gwiwar hannu,Elbow
Gyada,Groundnuts
Gyaɗa,Walnut
Gyade,Dislodge
Gyale,Shawl
Gyambo,Ulcer
Gyambon ciki,Ulcer
Gyanɗama,Gyandama
Gyangyadi,Nab
Gyangyaɗi,Slumber
Gyara,Correction
Gyara fuska,Shave
Gyara kayan ulu,Darn
Gyara kayanka baya zama sauke mu raba,Repair later be downloaded to share
Gyarawa,Remedial
Gyare,Cricket
Gyarta,Mend
Gyatsa,Belch
Gyatse,Belch
Ha,Ha
Ha;inci,Deceit
Ha’inci,Dishonesty
Ha’inta,Defraud
Haba,Chin
Habaici,Innuendo
Haɓaka,Escalate
Habakawa,Enhancement
Habits,Youth
Hada,Concen
Haɗa,Add
Hada abubuwa,Fuse
Hada baki,Colluding
Hada da,Include
Hada kai,Collude
Hadadde,Well-connected
Hadaddiya,Confederate
Hadaddun,Complexed
Hadaka,Unified
Hadama,Greed
Hadari,Clouded
Hadari,Clouded
Haɗari,Accident
Hadarurruka,Crashes
Hadawa,Made-up
Hadawan abu da iskar shaka,Oxidation
Hadaya,Sacrificed
Hadda,Including
Haddasa,Cause
Haddasau,Cause
Haddasawa,Implicate
Haddi,Excess
Hade,Merge
Hadedde,Integrated
Hade-hade,Complex
Haɗin gwiwa,Coalition
Hadin kai,Solidarity
Haɗin kai,Complicity
Hadin kan kasashe akan doka,Unilateralism
Hadisan imam husain (sayings),Imam hussein hadith (sayings)
Hadisi,Tradition
Hadiya,Swallow
Hadu,Blend
Hadurra,Accidents
Haduwa,Rencontre
Haɗuwa,Fusion
Hafsa,Adjutant
Haga,Defraud
Hagu,The left
Haguntawa,Left-leaning
Haha,Haha
Hahaha,Hahaha
Hahahaha,Hahahah
Haiba,Prestige
Haifa,Bore
Haifar da,Create
Haifi,Birth
Haifi dukushi,Foal
Haihu,Birth
Haihuwa,Birth
Haikali,Temple
Haike,Recoil
Haila,Menses
Hajaran- majaran,Desperately
Haji,Pilgrimage
Hajijiyar ruwa,Whirlpool
Hajja,Merchandize
Hajja iri iri,Textile
Haka,So
Haka nan,Arbitrary
Haka-haka,Illusory
Hakanan,So
Hakane,Indeed
Hakanniya,Pleurisy
Hakar kasa,Jaw
Hakarkari,Rib
Haƙarƙari,Rib
Haki,Grass
Hakika,Real
Haƙiƙa,Objective
Hakikani,Reality
Hakikanta,Prove
Hakin wuya,Tonsillitis
Hakki,Right
Haƙƙi,Right
Hakkin da ka raina shi zai tsone maka ido,The right to despise him tsone your eyes
Hako,Pit
Hakora,Teeth
Haƙora,Teeth
Hakori,Tooth
Haƙori,Tooth
Hakori jam’insa,Tooth
Hakowa,Excavation
Hakunta,Govern
Hakura,Surrender
Haƙura,Agitation
Hakura wa,Agitation
Hakuri,Patience
Haƙuri,Patience
Hakurtar da,Restrain
Hakurtar da,Restrain
Haƙurtar da,Restrain
Halacci,Legibility
Halaka,Destroy
Halakarwa,Annihilation
Halal,Lawful
Halali,Rightful
Halarci,Attend
Halarta,Witness
Halarto,Present
Halatta,Permissible
Halattacce,Lawfully
Halaye,Manners
Halayya,Mood
Hali,Case
Hali (na mutum),Temperament
Halicci,Create
Halifa,Caliph
Halin asiri,Secrecy
Halin duniya,Weather
Halin fadin gaskiya,Veracity
Halin iya jurewa,Stamina
Halin jiki,Constitution
Halin jurewa,Endurance
Halin karaya,Dismay
Halin kawaici,Reticence
Halin kirki,Morality
Halin ko-in-kula,Farcically
Halin kurum,Reticence
Halin lafiya,Welfare
Halin nagarta,Well-bred
Halin namiji,Manhood
Halin rashin dadi,Acridly
Halin rashin gyara,Disrepair
Halin rudu,Current fantasies
Halin rudu,Current fantasies
Halin ruɗu,Current fantasies
Halin sa dariya,Humor
Halin sanda,Stealth
Halin shanu,Bovine
Halin shiri,Readiness
Halin taimakawa,Sympathy
Halin tanadi,Thrift
Halin wuri,Environment
Halin yawan tambayoyi,Curiosity
Halin yin keta,Malice
Halin zama,State
Halin zaman lafiya,Security
Halin zuciya,Temper
Halitta,Creature
Halitta duka,Creation
Halittu,Worlds
Hallaka,Destruction
Hallara,Collect
Halmu,Digestion
Hama,Hammer
Hama ta katako,Mallet
Hamada,Desert
Hamata,Armpit
Hamayya,Contest
Hambaman ludo,Dice
Hamburin haya,Glutton
Hamce,Gape
Hamila da makamantanta,Sling
Hamma,Yawn
Hamshaki,Blockbuster
Hamsin,Fifty
Hana,Ban
Hana (abu),Smother
Hana (wani) numfasa,Stifle
Hana aiki,Inviolate
Hana fita,Detention
Hana kai abinci,Fast
Hana salla,Hat
Hana shigowa,Exclude
Hana wa,Obstruct
Hana zuwa,Exclude
Hananne,Contravene
Hana-salla,Prevent mass
Hanawa,Preventing
Hanci,Nose
Hanci da sarka,Hasp
Hancin kade,Cloves
Handasa,Geometry
Hang,Cheerleader
Hangar,Beetle
Hange,Prospect
Hangen nesa,Short-sightedness
Hango,Foresee
Hangu,Mumps
Hanguka,Irritate
Hangula,Irritation
Hani,Restraint
Hanji,Bowels
Hankaka,Crow
Hankali,Cautious
Hankalin mutum,Mentality
Hankula,Understanding
Hannaye,Hands
Hannu,Hand
Hannu banza,Empty
Hannu da dantse,Forearm
Hannu daya baya daukan jinka,Hand back one takes hearing
Hannu ko kafa,Extremity
Hannu wofi,Empty
Hannun gada,Handrail
Hannun jari,Stocks
Hannunka mai sanda,Hand stick
Hanta,Liver
Hantsa,Udder
Hantsaki,Forceps
Hantsi,Daylight
Hanya,Procedure
Hanya madaidaiciya,Straight path
Hanyar,Methodical
Hanyar al’ada,Tradition
Hanyar amfani,Use
Hanyar fadin kalmomi,Pronunciation
Hanyar jirgi,Leeway
Hanyar jirgin kasa,Railway
Hanyar kafa,By foot
Hanyar kafa,By foot
Hanyar ƙafa,By foot
Hanyar lafazi,Tone
Hanyar rubutu,Style
Hanyar ruwa,Ditch
Hanyar samun wasiku,Way to get mail
Hanyar samun wasiku,Way to get mail
Hanyar samun wasiƙu,Way to get mail
Hanyar tafiya,Route
Hanyar yin jawabi,Elocution
Hanyar yin tafiya,Gait
Hanyoyi,Ways
Hanyoyin ruwa,Drainage
Hanzari,Fastidious
Hanzarta,Expeditiously
Hanzuga,Incite
Hanzuga hure,Foment
Har,Till
Har abada,Everlasting
Har da,Including
Har yanzu,Still
Har yau,Still
Harafi,Letter
Haraji,Cess
Harajin ma’adinai,Royalty
Haram,Unlawful
Haramta,Prohibited
Haramtacce,Outlaw
Haramtattun kayayyaki,Contraband
Haramtawa,Quash
Haramun,Forbidden
Harara garke,Harara server
Harare-harare,Harare harare
Harari,Elicits
Harari garke,Squint
Harawa,Haulm
Harba,Shoot
Harba (kwaro),Sting
Harba ruga,Shoot run
Harbawa,Stinging
Harbe-harbe,Firing
Harbi,Stingingly
Harbin daji,Blackquarter
Hare-hare,Attacks
Hargi,Harpoon
Hargitsa,Destabilisation
Hargitsatstse,Chaotic
Hargitsi,Chaos
Hargowa,Clamour
Hari,Assault
Harkar majamia,Priesthood
Harsa,Muslin
Harsashi,Shell
Harsashi mai linzami,Missile
Harshe,Vernal
Harshen asali,Original language
Harshen wuta,Blaze
Harsuna,Languages
Haruffan kalma,Spell
Haryana,Harried
Harza,Pulp
Harzuka,Fury
Hasa,Kindled
Hasada,Enviably
Hasara,Loss
Hasashe,Speculative
Hasashen,Forecast
Hashiya,Margin
Haska,Illuminate
Haskaka,Whitewash
Haskawa da ado mai arha,Tawdry
Haske,Glare
Hasken rana,Sunshine
Hasken tauraro,Starlight
Hasken wuta,Glove
Haso,Included
Hassada,Envy
Hassada mai daci,Rancour
Hassalawa,Hasseling
Hasu,Moth
Hasumiya,Lighthouse
Hath,Hat
Hatimi,Seal
Hatsabibi,Sorcerer
Hatsari,Dangerousness
Hatsi,Grainy
Hatta,Even
Hau,Climp
Hau gadon sarauta,Accede
Hau-hau,Ride-ride
Hauhawa,Gumption
Hauhawar farashin kaya,Inflation
Hauka,Frenzy
Haukace,Rave
Haukan kare,Rabies
Haukan nishadi,Frenzied
Haukatawa,Storm
Hauni,Executioner
Haura,Exceed
Haure,Tusk
Haushi,Upset
Hautsina,Muddle
Hauya,Score
Hawa,Ride
Hawa makahon doki,Blind man riding horse
Hawainiya,Chameleon
Hawan,Ascent
Hawan gadon sarauta,Accession
Hawan jini,High blood pressure
Hawan salla,Ceremony
Hawaye,Tears
Hawiya,Hell
Haya,Hire
Hayaki,Fuming
Hayaƙi,Smoke
Hayaniya,Noisy
Hayayyafa,Fruitful
Haye,Survive
Hayya,Farmer neighborhood
Hayyata,Hayyan
Haza,Yours
Hazaka,Gifted
Hazaƙa,Gifted
Hazbiya,Sty
Hazikanci,Sagacity
Haziƙanci,Understanding
Haziki,Genial
Hazo,Haze
Hear,Love
Hearing,Nutrition
Hek,Hake
Helkwata,Head-quarters
Heluma,Headman
Herpesvirus kamuwa da cuta,Herpesvirus
Hidima,Slog
Hijira,Exile
Hikaya,Fairy tale
Hikidu,Grudge
Hikima,Wisdom
Hikimah,Wise
Hila,Guile
Hilafa,The discrepancy
Hilali,Crescent
Hilatar abokin gaba,Feint
Himma,Zealous
Himmatuwa,Enthusiastically
Hinjis,Hinge
Hira,Chatter
Hirar,Interview
His,@his
His excellency,@his excellency
Hob,Hub
Hobbasa,Effort
Hoɓɓasa,Effort
Hoda,Powder
Hodar iblis,Cocaine
Hoge,Sod
Hoki,Hockey
Holewa,Enjoy
Holo,Polo
Homan,Foreman
Hon,Horn
Honourable,Honorable
Horar da,Cultivated
Horarswa,Punishment
Hore,Chasten
Hori,Punish
Horo,Discipline
Horon zunubi,Purgatory
Hotaka,Petal
Hotel,Hotel
Hoto,Photo
Hoto (na mutum),Portrait
Hotuna,Pictures
Huci,Sigh
Huda,Piqued
Huda (da shanu),Plough
Hude,Transfix
Hudu,Four
Huɗu,Four
Huduba,Sermon
Huhu,Lungs
Huhu (na shanu),Pleuro-pneumonia
Huje,Perforate
Hujja,Contention
Hujjar kirki,Justify
Hujjoji,Evidence
Hukuma,Officious
Hukunce-hukuncen,Verdicts
Hukunci,Penalty
Hukunta,Punish
Hukuntawa,Judge
Hula,Cap
Hular dara,Fez
Hular gashi,Wig
Hular lauya,Wig
Hular mangwamare,Beret
Hulda,Dealings
Hululu,Gossip
Humans,Accessories
Humusi,Fifth
Hunturu,Harmattan
Hura,Distend
Hura hanci,Gasp
Hura kogo,Blow hole
Hura-kogo,Blow-hole
Hure,Extinguish
Huro,Wind
Hurumi,Cemetery
Hushi,Wrath
Huska,Frowned
Husufi,Eclipse
Husuma,Rivalry
Huta,Rest
Hutawa,Repose
Hutsu,Cantankerous
Hutu,Vacation
Hwagga,Turf
I,Yes
I tunzurzwa,Harangue
Ibada,Cult
Ibadah,Shrine
Ibhami,Thumb
Ibilicci,Spiteful
Ibilis,The devil
Iblis,Devil
Icce,Soup
Idan,If
Idan aka duba,Considering
Idanu,Eyes
Idanuwa,Eyes
Idar da,Complete
Idda,Period
Idi,Feast
Ido,Eye
Ido biyu,Two eye
Ido da ido,Eye
Idon basira,Realistic
Idon kafa,Ankle
Idon kafa,Ankle
Idon ƙafa,Ankle
Idon ruwa,Spring
Idon sau,Ankle
Igiya,Current
Igiya mai airiri,String
Igiyar ruwa,Current
Igiyoyi,Ropes
Igwa,Cannon
Ihu,Screaming
Ijara,Commission
Ikaya,Appointment
Ikhlasi,Sincerity
Ikirari,Confession
Iƙirari,Clamor
Iko,Authoritative
Ikon allah,Power of god
Ila,Also
Ilhama,Intuitive
Ilhami,Instinctive
Ilimantar,Educate
Ilimantar da,Educates
Ilimi,Academy
Ilimin addini,Theism
Ilimin gaibu,Prescient
Ilimin halayyar dan adam,Sociology of man
Ilimin lissafi,Physiology
Illa,Adverse
Ilmantar da,Educate
Ilmantarwa,Learning
Ilmi,Knowledge
Ilmin lissafi,Imputation
Imani,Believing
ĩmãni,Believe
Imma,Either
In an jima,Soon
In ba... ba,Unless
In dai,In
Ina,Where
Ina kwana,Good day
Ina son ka,Ilu
Inabai,Grapevines
Inabi,Grape
Inabobi,Grapes
Inatu,Inner
Inci,Inc
Inda,Where
Indararo,Spout
Indiyawa yan kama wuri zauna a turai,Apache
Inganci,Upgradeable
Inganta,Improve
Inganta makamashi,Energy-efficient
Ingantacce,Upgraded
Ingantaccen,Efficient
Ingantawa,Validating
Ingarma,Stud
Ingilishi,English
Ingirici,Hay
Ingiza,Forward
Inglishi,English
Inifam,Uniform
Inina,Stammer
Inji,Machines
Injin,Machine
Injin daga kaya,Crane
Injin daga kaya,Crane
Injin ɗaga kaya,Crane
Injin daga kayan gine-gine,Crane buildings
Injin daga kayan gine-gine,Crane buildings
Injin ɗaga kayan gine-gine,Crane buildings
Injin daga manyan kaya,Machine from major suppliers
Injin daga manyan kaya,Machine from major suppliers
Injin ɗaga manyan kaya,Machine from major suppliers
Injin mai kwakwalwa,Computer
Injin noma,Tractor
Injiniya,Engineer
Inna,Paralysis
Inshora,Insure
Inshuwara,Insurance
Intabiyu,Interview
Intanet,Internet
Intirihi da danginsu,Quail
Inuwa,Shadowy
Inyawara,Civet
Inzali,Orgasm
Iri,Seedy
Iri (na shuka),Seed
Iri daya,Same
Iri -iri,Diverse
Iri-iri,Variety
Irin,Kind of
Irin fatalwa,Ghost
Irin germ,Microbe
Irin kifi,Carp
Irin marai,Canary
Irin na ubangiji,Godlike
Irin nakiya,Dynamite
Irin sauti,Tone
Irin shuka,Grist
Irin wake,Beans
Irin wannan,Such
Isa,Reach
Isad da,Convey
Isarwa,Delivery
Isashshe,Sufficient
Isasshe,Adequate
Ishara,Indication
Ishisshire,Sprawl
Isimi,Noun
Iska,Vent
Iska mai karfi,Blast
Iskanci,Hooliganism
Iskoki,Winds
Istigfari,Forgiveness
Istigifari,Forgiveness
Istihara,Divination
Ita,It
Itace,Tree
Itacen,Tree
Itacen dabinai,Palm tree
Itãcen dabĩnai,Palm trees
Itacen gam,Eucalyptus
"Itacen gidanmu, inuwa na gidan wani","Our family tree, the shade of a house"
Itacen inabi,Vine
Itacen kanya,Ebony
Itacen loko,Iron
Itacen oak,Oak
Itaciya,Tree
Italiya,Italy
Itatuwa,Trees
Itatuwan magani,Balsam
Itch,Wave your flag
Ittifaki,Conclusions
Ittifaƙi,Conclusions
Iwa,Reed
Iya,Capable
Iya abu da hannu,Dextrous
Iya canzawa,Volatility
Iya gani,Sight
Iya iyawa,Affordably
Iya kaga,Imagination
Iya karatu,Literacy
Iya kwatanta,Imagination
Iya magana,Eloquence
Iya muamala,Amiability
Iya ruwa,Water
Iya samu,Accessable
Iya samun nasararsa,Winnable
Iya tabo,Reach
Iya tunani,Memory
Iya zance,Rhetorical
Iyad da,Iyad
Iyaka,Limit
Iyakace,Define
Iyakaci,Confines
Iyakacin,Extent
Iyakance,Limited
Iyakancewa,Limitation
Iyakoki,Borders
Iyakwandishan,Conditioning
Iyalai,Families
Iyali,Household
Iyaliya,My family
Iyar da,Convey the
Iyawa,Abilities
Iya-wuri,Can place
Iyaye,Parentage
Iyayengiji,Lords
Iyo,Swim
Iza,Urge
Izgili,Deride
Izini,Authorization
Izni,Permission
Izo,Incite
Izza,Power
Ja,Pull
Ja (isimi),Traction
Ja (misali aiki),Protract
Ja baya,Retard
Ja birki,Brake
Ja da baya,Retreat
Ja da gaskiya,Impugn
Ja da karfi,Tug
Ja gaba,Guide
Ja hankali,Sugar-coated
Ja jiki,Crawl
Ja layi,Underline
Ja mai baki-baki,Crimson
Ja ruwa,Slush
Ja wa (zuciya),Tantalize
Ja wur,Scarlet
Jabu,Forgery
Jada karfi,Haul
Jadawali,Schedule
Jadawalin kuɗin fito,Tariff
Jadawalin maaikata,Rota
Jaddada,Stressed
Jaddawa,Friggin
Jafa’i,Insult
Jagora,Leading
Jagoran jirgin ruwa,Commodore
Jagoran jirgin teku,Pilot
Jagoran kungiya,Talisman
Jagoran matafya a ruwa,Admiral
Jagoran yan doka,Marshal
Jagoranci,Lead
Jagoranci daga tsirari,Oligarchy
Jagorori,Guidelines
Jahannam,Hell
Jahannama,Hell
Jahilai,Illiterate
Jahilci,Erudite
Jahili,Ignorant
Ja-ja,Rosy
Jajanta,Sympathize
Jajaye,Red
Jaje,Consolable
Jajiberi,Eve
Jajinta,Jaji
Jajirce,Committed
Jajircewa,Yearning
Jajirta,Jaji
Jak,Jack
Jakada,Ambassador
Jakadiya,Ambassador
Jakadwa,Embassy
Jakar datti,Dirtbag
Jakar kwalatai,Scrotum
Jaki,Donkey
Jakin kaya,Barrow
Jakunkuna,Douchbag
Jalala,Jalal
Jam’i,Plural
Jam’iyya,Congress
Jam’iyyar kasuwanci,Chamber of commerce
Jama’a,Congregation
Jamaa,Public
Jamaa,Public
Jambaki,Lipstick
Jamhuriya,Republic
Jami’a,University
Jami’i,Officer
Jamia,University
Jamia,University
Jamii,Officer
Jamsin,Junction
Jamus,Germany
Jamusanci,German
Jan,Dragged
Jan hankali,Freak
Jan jiki,Crawl
Jan karfe,Bronze
Jan rigima,Mischievous
Jan yakutu,Ruby
Jana’iza,Funeral
Janairu,January
Janaiza,Funeral
Janaizar,Funerals
Janar,General
Janaraito,Dynamo
Janarato,Generator
Jan-farce,Red-farce
Jante,Fever
Janye,Withdraw
Janye hankali,Distract
Janye hankalin,Divert
Janye jiki,Wince
Janye kai,Retire
Janyewa,Withdrawal
Janyewar hankali,Distraction
Japananci,Japanese
Jar,Red
Jaraba,Addicting
Jarababbe,Lascivious
Jarabar jimai,Nappy
Jarabar so,Infatuation
Jarabawa,Test
Jarabce,Tempted
Jarabci,Try
Jarbu,Colic
Jari,Capital
Jarida,Newspaper
Jaridu,Press
Jarinta,Invest
Jariri,Infantile
Jaririya,Infant
Jarraba,Prove
Jarraba hali,Probation
Jarrabawa,Examination
Jarrabawar jami’a,Degree
Jaruma,Heroine
Jarumai,Heroes
Jarumi,Brave
Jarumin zamanin da,Hero
Jarumta,Heroic
Jarumtaka,Heroics
Jaruntaka,Bravery
Jatan lande,Prawn
Jauhari,Jewel
Jaura,Fusty
Jawabi,Reply
Jawo,Drag
Jawo hankali,Enticing
Jawo hankalin,Attract
Jawo wa kanka,Incur
Jayayya,Contend
Jayayye,Drawn
Je,Go
Je da sauri,Dash
Je ka huda,Bruise
Jefa,Cast
Jefa cikin haɗari,Jeopardize
Jefa da karfi,Hurl
Jefa kai ga halaka,Hell-bent
Jefa ƙuria,Vote
Jefad da,Discard
Jefar,Discarded
Jefe,Throw
Jejjefi,Pelt
Jeƙala,Jekala
Jela,Tail
Jema,Tan
Jemage,Sirloin
Jemagu,Bats
Jeme,Tan
Jemewa,Tanned
Jera,Listed
Jeranta,Narrate
Jere,Row
Jeri,Rank
Jerin gwano,Procession
Ji,Feeling
Ji a zuci,Heartfelt
Ji ciwo,Hurt
Ji da hankali,Sensationalize
Ji dadi,Enjoyment
Ji dadi,Enjoyment
Ji daɗi,Please
Ji dadin,Enjoy
Ji ga,Perceive
Ji gora,Guide
Ji haushi,Pissed
Ji haushin,Resent
Ji jiki,Feel
Ji kaunar,Admire
Ji kaunar,Admire
Ji ƙaunar,Feel the love
Ji ƙyama,Shrink
Ji kyamar,Loathe
Ji labari,Learn
Ji labarin,Hear
Ji rauni,Injured
Ji tsoro,Fear
Ji tsoron,Dread
Ji wa ciwo,Injure
Ji yunwa,Hunger
Jibanta,Felt
Jiɓanta,Felt
Jibga,Pile
Jibi,Sweat
Jibinta,Involve
Jiɓinta,Himself
Jidali,Debated
Jifa,Castigate
Jiga,Jigger
Jigata,Tedium
Jigo,Shadoof
Jiha,Region
Jihadi,Crusade
Jijiga,Dandle
Jijiya,Uproot
Jijiyoyi,Nerves
Jijjiga,Alert
Jijjige,Beam
Jika,Soak
Jiƙa,Soak
Jika kadan,Moisten
Jika namiji,Grandson
Jikakke,Wet
Jikanya,Granddaughter
Jike,Wet
Jiƙe,Wet
Jikewa,Drained
Jiƙewa,Shrunk
Jiki,Carnal
Jikin itace,Trunk
Jiko,Infusion
Jikoki,Grandchildren
Jim kadan,Soon
Jim kadan,Soon
Jim kaɗan,Shortly
Jima,Wait
Jimai,Sex
Jimai,Sex
Jimai da mai barci,Incubus
Jimilla,Number
Jimilta,Add
Jimina,Ostrich
Jimirda,Quandary
Jimiri,Endurance
Jimla,Sum
Jimloli,Sentences
Jin abu kwarai,Passion
Jin baki,Most visitors
Jin cizon yatsa,Disappointment
Jin dadi,Cozy
Jin dadi,Cozy
Jin daɗi,Happiness
